t (s),V (mV),,,lnV,t,,(lnV)^2,t^2,t*lnV
0,15.2234,,,2.7228337177616,0,,7.41382345457946,0,0
1.049,15.2137,,,2.72219633770053,1.049,,7.41035290099018,1.100401,2.85558395824786
2.061,15.2044,,,2.72158485964702,2.061,,7.40702414825988,4.247721,5.6091863957325
3.062,15.194,,,2.72090061308103,3.062,,7.40330014626472,9.375844,8.33139767725411
4.062,15.1836,,,2.72021589800108,4.062,,7.39957453173783,16.499844,11.0495169776804
5.062,15.1727,,,2.71949776038428,5.062,,7.39566806873512,25.623844,13.7660976630652
6.061,15.1606,,,2.71869995726746,6.061,,7.39132945764606,36.735721,16.478040440998
7.061,15.1507,,,2.71804673550844,7.061,,7.38777805640809,49.857721,19.1921279994251
8.062,15.1391,,,2.71728080106403,8.062,,7.38361495183119,64.995844,21.9067178181782
9.062,15.1287,,,2.7165936020995,9.062,,7.37988079896796,82.119844,24.6177712222257
10.062,15.1168,,,2.7158067081408,10.062,,7.37560607598255,101.243844,27.3264470973127
11.062,15.1037,,,2.71493974691775,11.062,,7.37089782939382,122.367844,30.0326634804042
12.061,15.0921,,,2.71417142810715,12.061,,7.36672654115318,145.467721,32.7356215944003
13.061,15.0802,,,2.71338262509133,13.061,,7.36244527014753,170.589721,35.4394904663179
14.062,15.0693,,,2.71265956165911,14.062,,7.35852189746059,197.739844,38.1454187560504
15.062,15.0571,,,2.71184964074809,15.062,,7.35412847402553,226.863844,40.8458792889477
16.061,15.0452,,,2.71105900344663,16.061,,7.34984092016901,257.955721,43.5423186543563
17.061,15.0328,,,2.71023448049281,17.061,,7.34537093925211,291.077721,46.2393104716878
18.062,15.0212,,,2.70946253662004,18.062,,7.34118723734751,326.235844,48.9383123364312
19.062,15.0092,,,2.70866334642353,19.062,,7.3368571242583,363.359844,51.6325407095253
20.061,14.9972,,,2.70786351701115,20.061,,7.33252482676001,402.443721,54.3224500147607
21.061,14.9856,,,2.70708974000709,21.061,,7.32833486045163,443.565721,57.0140170142892
22.061,14.974,,,2.70631536380849,22.061,,7.3241428483859,486.687721,59.7040232409792
23.061,14.9618,,,2.70550028616397,23.061,,7.31973179843334,531.809721,62.3915420992274
24.061,14.9499,,,2.70470461085111,24.061,,7.31542703195927,578.931721,65.0778976416887
25.061,14.9379,,,2.70390160757588,25.061,,7.31108390345141,628.053721,67.762478187459
26.061,14.926,,,2.7031046587092,26.061,,7.30677479593536,679.175721,70.4456105106204
27.062,14.9141,,,2.70230707420842,27.062,,7.30246352331686,732.351844,73.1298340422282
28.061,14.9023,,,2.70151556345487,28.061,,7.29818633958888,787.419721,75.8072282261071
29.062,14.89,,,2.70068984669592,29.062,,7.29372564804642,844.599844,78.4874483246768
30.061,14.8782,,,2.69989705434582,30.061,,7.28944410406525,903.663721,81.1616053506898
31.062,14.8668,,,2.69913053892756,31.062,,7.28530566617136,964.847844,83.8403928001678
32.061,14.8555,,,2.6983701670489,32.061,,7.28120155841953,1027.907721,86.5124459257549
33.062,14.8433,,,2.69754858498591,33.062,,7.27676836835947,1093.095844,89.1863513168041
34.061,14.8311,,,2.69672632737077,34.061,,7.27233288473463,1160.151721,91.8531954365757
35.061,14.8186,,,2.69588314846909,35.061,,7.2677859501996,1229.273721,94.5203590684747
36.062,14.8081,,,2.69517432835482,36.062,,7.26396466022287,1300.467844,97.1933766291316
37.061,14.7962,,,2.69437039104565,37.061,,7.25963180414351,1373.517721,99.856061062543
38.061,14.7848,,,2.69359962598941,38.061,,7.25547894513029,1448.639721,102.521095364783
39.061,14.7717,,,2.69271318809197,39.061,,7.25070431332443,1525.761721,105.180069840061
40.061,14.7599,,,2.69191404408162,40.061,,7.24640122072389,1604.883721,107.840768519954
41.062,14.7472,,,2.69105323425726,41.062,,7.24176750960647,1686.087844,110.500027905072
42.062,14.735,,,2.69022561618966,42.062,,7.23731386600302,1769.211844,113.156269868169
43.062,14.7235,,,2.68944485677664,43.062,,7.23311363764233,1854.335844,115.812874422516
44.062,14.7126,,,2.68870426950467,44.062,,7.22913064885265,1941.459844,118.469687522915
45.062,14.6977,,,2.68769101895811,45.062,,7.22368301338808,2030.583844,121.11273269629
46.061,14.6861,,,2.68690146821228,46.061,,7.21943949988132,2121.615721,123.761368527326
47.062,14.6744,,,2.686104479018,47.062,,7.21515727220058,2214.831844,126.413448991545
48.061,14.6621,,,2.68526593313007,48.061,,7.21065313162889,2309.859721,129.056566012164
49.061,14.6492,,,2.6843857264635,49.061,,7.20592672844097,2406.981721,131.698648126026
50.061,14.638,,,2.68362088717904,50.061,,7.20182106610359,2506.103721,134.34474523307
51.061,14.625,,,2.68273239311792,51.061,,7.1970530930842,2607.225721,136.982998724994
52.062,14.6142,,,2.68199365878243,52.062,,7.19308998574916,2710.451844,139.629953863531
53.061,14.6036,,,2.68126807366205,53.061,,7.18919848283942,2815.469721,142.270765256582
54.061,14.5902,,,2.68035007045993,54.061,,7.18427650021456,2922.591721,144.902405159134
55.061,14.5772,,,2.67945866424197,55.061,,7.17949873338139,3031.713721,147.533673511827
56.062,14.5653,,,2.67864198752162,56.062,,7.1751228973138,3142.947844,150.170027104437
57.061,14.5521,,,2.67773531309985,57.061,,7.17026640702196,3255.957721,152.794254700791
58.062,14.5412,,,2.67698599964899,58.062,,7.16625404231669,3371.195844,155.43116111162
59.061,14.5297,,,2.67619483043167,59.061,,7.16201877042919,3488.201721,158.058742880125
60.062,14.5179,,,2.67538237083782,60.062,,7.15767083018982,3607.443844,160.688815957261
61.062,14.5073,,,2.67465197101483,61.062,,7.1537631660535,3728.567844,163.319598654107
62.062,14.4951,,,2.67381066128049,62.062,,7.1492634523772,3851.691844,165.94203726039
63.062,14.4834,,,2.67300316602464,63.062,,7.14494592557776,3976.815844,168.564925655846
64.061,14.4715,,,2.6721811980213,64.061,,7.14055235505855,4103.811721,171.182599726442
65.062,14.4599,,,2.67137930107738,65.062,,7.13626737022469,4233.063844,173.805280086697
66.062,14.4495,,,2.67065981188365,66.062,,7.13242383081042,4364.187844,176.429128492658
67.062,14.4373,,,2.66981513537221,67.062,,7.12791285706252,4497.311844,179.043142608331
68.061,14.426,,,2.66903213408148,68.061,,7.12373253275955,4632.299721,181.65699607772
69.061,14.4158,,,2.66832482729583,69.061,,7.1199573839633,4769.421721,184.277180897877
70.061,14.4052,,,2.66758925250814,70.061,,7.11603242009694,4908.543721,186.893970619973
71.061,14.3912,,,2.66661690866634,71.061,,7.11084573758522,5049.665721,189.492464146739
72.061,14.3831,,,2.66605390625002,72.061,,7.10784343103099,5192.787721,192.118510538283
73.061,14.3707,,,2.6651914115002,73.061,,7.10324525993442,5337.909721,194.721549715616
74.062,14.3591,,,2.66438388756127,74.062,,7.09894150029609,5485.179844,197.329599480563
75.061,14.347,,,2.66354086111625,75.061,,7.09444991883591,5634.153721,199.928040576247
76.061,14.3358,,,2.6627599052424,76.061,,7.09029031296653,5785.275721,202.532181152642
77.061,14.3242,,,2.661950414619,77.061,,7.08598000989024,5938.397721,205.132560900954
78.061,14.3132,,,2.66118218841543,78.061,,7.08189063993954,6093.519721,207.734542809897
79.061,14.3022,,,2.6604133715866,79.061,,7.07779930771679,6250.641721,210.334941571008
80.061,14.2916,,,2.65967195208408,80.061,,7.07385489270275,6409.763721,212.935996155804
81.062,14.2805,,,2.65889497030406,81.062,,7.06972246310825,6571.047844,215.535344082788
82.061,14.2669,,,2.65794216892608,82.061,,7.0646565733555,6734.007721,218.113392324243
83.061,14.2561,,,2.6571848852942,83.061,,7.06063151463595,6899.129721,220.708433757422
84.061,14.2442,,,2.65634980631668,84.061,,7.05619429351865,7066.251721,223.295421068786
85.061,14.2326,,,2.65553510799091,85.061,,7.05186670977229,7235.373721,225.882471820815
86.061,14.222,,,2.65479006146133,86.061,,7.04791027043383,7406.495721,228.473887479423
87.062,14.2102,,,2.65396001660532,87.062,,7.0435037697397,7579.791844,231.059066965692
88.062,14.2009,,,2.65330534288046,88.062,,7.040029242558,7754.915844,233.655375104739
89.062,14.1878,,,2.65238244039251,89.062,,7.03513261010253,7932.039844,236.226484906238
90.061,14.1763,,,2.65157155616702,90.061,,7.03083171747399,8110.983721,238.803185919958
91.062,14.1642,,,2.65071765445497,91.062,,7.02630408363923,8292.287844,241.379651049978
92.061,14.1527,,,2.64990541860766,92.061,,7.02199872756625,8475.227721,243.95294274244
93.061,14.144,,,2.64929050589529,93.061,,7.01874018462691,8660.349721,246.545623769121
94.061,14.1322,,,2.64845588167527,94.061,,7.01431855718035,8847.471721,249.116408686258
95.061,14.1218,,,2.64771970269391,95.061,,7.01041962403354,9036.593721,251.694882657786
96.062,14.1083,,,2.64676327667848,96.062,,7.00535584277381,9227.907844,254.253373884288
97.061,14.0968,,,2.64594782127238,97.061,,7.00103987289608,9420.837721,256.818341480519
98.062,14.086,,,2.64518139632322,98.062,,6.99698461945445,9616.155844,259.391778086248
99.061,14.0737,,,2.64430780741551,99.061,,6.99236378035861,9813.081721,261.947775710388
100.061,14.0638,,,2.64360412013636,100.061,,6.98864274400193,10012.203721,264.521671864964
101.062,14.052,,,2.64276473440358,101.062,,6.98420544140723,10213.527844,267.083089588295
102.062,14.0418,,,2.6420385955083,102.062,,6.98036794015544,10416.651844,269.651743134768
103.061,14.0323,,,2.64136181510482,103.061,,6.97679223829383,10621.569721,272.221390026518
104.061,14.0207,,,2.64053480903337,104.061,,6.97242407771691,10828.691721,274.776692762822
105.061,14.0097,,,2.63974994684342,105.061,,6.96827978185982,11037.813721,277.334769165316
106.061,13.9993,,,2.63900732836522,106.061,,6.96435967916532,11248.935721,279.895756253743
107.061,13.9889,,,2.63826415799494,107.061,,6.96043776736076,11462.057721,282.455199019097
108.061,13.9786,,,2.6375275887295,108.061,,6.95655178130923,11677.179721,285.013868765698
109.061,13.968,,,2.63676899909725,109.061,,6.95255075460029,11894.301721,287.568663810545
110.062,13.9561,,,2.63591668867576,110.062,,6.94805678963936,12113.643844,290.114262589031
111.061,13.9462,,,2.63520706972567,111.061,,6.94431630033217,12334.545721,292.668732370803
112.061,13.9357,,,2.63445389289796,112.061,,6.9403473138052,12557.667721,295.219537692038
113.062,13.9248,,,2.63367142305311,113.062,,6.93622516460661,12783.015844,297.768158433231
114.061,13.913,,,2.63282365485974,114.061,,6.931760397589,13009.911721,300.302498896957
115.061,13.9002,,,2.63190322852234,115.061,,6.92691460430632,13239.033721,302.829417377009
116.061,13.8927,,,2.63136352232529,116.061,,6.92407398662414,13470.155721,305.398681764595
117.061,13.8791,,,2.6303841114778,117.061,,6.91892057391485,13703.277721,307.915394473703
118.061,13.8698,,,2.62971381461211,118.061,,6.91539474676175,13938.399721,310.46664266692
119.062,13.8607,,,2.62905749753693,119.062,,6.91194332535512,14175.759844,313.020843771741
120.062,13.8515,,,2.62839353001807,120.062,,6.90845254864086,14414.883844,315.57018400103
121.061,13.8384,,,2.62744733657011,121.061,,6.90347950644937,14655.765721,318.081402012514
122.061,13.828,,,2.62669552205938,122.061,,6.89952936560679,14898.887721,320.61708211809
123.061,13.8162,,,2.62584181670949,123.061,,6.8950452463802,15144.009721,323.138719806087
124.062,13.805,,,2.62503084538212,124.062,,6.89078693920756,15391.379844,325.666576739796
