lnV;t
2.87301646676164;0
2.87193053679921;1.05
2.87112664182838;2.063
2.870208732331;3.063
2.86927863159756;4.063
2.86832494763743;5.064
2.86738740761677;6.064
2.86647743769673;7.063
2.86539007575144;8.064
2.86445548026635;9.063
2.86344011276442;10.063
2.86240086093213;11.064
2.86141199841489;12.063
2.86039353437648;13.063
2.85933964864844;14.063
2.85830186104945;15.064
2.85732041939945;16.064
2.85623454627095;17.063
2.85521654715502;18.063
2.85415142797689;19.063
2.85309093970714;20.064
2.85380574014109;21.063
2.84963077861261;22.063
2.84845541479487;23.063
2.847313468435;24.063
2.84627473037921;25.063
2.84518260230579;26.064
2.8441300104194;27.063
2.84314037819073;28.063
2.84203898910552;29.063
2.84097724447784;30.064
2.83993190039732;31.063
2.83888546242896;32.064
2.837837928281;33.064
2.83675998844752;34.063
2.83566914962513;35.064
2.83472396719621;36.063
2.83364854346086;37.064
2.83256018962082;38.063
2.83149422015031;39.063
2.83044480931582;40.063
2.82942972459892;41.063
2.82843134024439;42.063
2.82734320729019;43.063
2.82631312159544;44.064
2.82527011527248;45.064
2.82420821341937;46.064
2.82316894995571;47.064
2.82208102080754;48.063
2.82106336044566;49.063
2.82000890078826;50.064
2.81894139432807;51.063
2.81786677377463;52.064
2.81676109795966;53.063
2.81580983656926;54.063
2.81477378735708;55.063
2.8137486596509;56.064
2.81264442323213;57.063
2.81156301080225;58.063
2.81047441002775;59.063
2.80946293451194;60.064
2.80842631524407;61.063
2.80734032918276;62.064
2.80632567703681;63.063
2.80522530751605;64.063
2.80417822819643;65.063
2.80315429906707;66.063
2.80204436382064;67.064
2.80102432110899;68.064
2.79993026234616;69.063
2.79890197210736;70.063
2.79788481123822;71.063
2.79689711468558;72.063
2.79576799518719;73.064
2.79480265568544;74.063
2.79371400385473;75.064
2.79256902982831;76.063
2.7915392709338;77.064
2.79049617246891;78.063
2.78945198481338;79.063
2.78843131304902;80.063
2.78736649115219;81.064
2.78626354420056;82.064
2.78521492519726;83.063
2.78418991738909;84.064
2.78318859457045;85.063
2.78215531610899;86.064
2.78113955940685;87.063
2.78004833005362;88.063
2.77906768833749;89.064
2.77799284363604;90.063
2.77699773822824;91.064
2.77592066514775;92.064
2.77491725909237;93.063
2.77386915213943;94.064
2.77283869099499;95.063
2.77175712655992;96.063
2.77079336154384;97.063
2.76976599208286;98.063
2.7686936462709;99.064
2.76770180066639;100.063
2.76660208805183;101.063
2.76558928321954;102.064
2.7646573519135;103.063
2.76355428432859;104.063
2.76244368493254;105.064
2.76152777488036;106.063
2.76051614100551;107.064
2.75944649018562;108.063
2.75839471220388;109.063
2.7574179762001;110.063
2.7563767657625;111.063
2.7553662634442;112.064
2.75432927862294;113.063
2.75328484554684;114.063
2.75225845576653;115.064
2.75118631597935;116.064
2.75035589439688;117.064
2.74931369814588;118.063
2.74834085448576;119.063
2.74718757744974;120.063
2.74623833004181;121.063
2.74523037222649;122.063
2.74424711641403;123.063
2.74325645683683;124.064
2.7422068313537;125.064
2.74119479969451;126.063
2.74014946296221;127.063
2.73924520448938;128.063
2.73820429537795;129.064
2.7372011531939;130.063
2.73619052204652;131.063
2.73520482111395;132.064
2.73412722081233;133.063
2.73310047330199;134.063
2.73209870385935;135.064
2.73103077989301;136.063
2.73013127651463;137.064
2.72896332268242;138.063
2.7279443274802;139.064
2.72696354421351;140.063
2.72600799047599;141.063
2.72492698365865;142.063
2.72394979663322;143.063
2.72296508582884;144.064
2.72192680743755;145.063
2.72085454120231;146.063
2.71987995285579;147.064
2.71884505972984;148.063
2.71783550183701;149.064
2.71685796528318;150.063
2.7158662427784;151.064
2.71490002076337;152.063
2.71382018932412;153.063
2.71283208299246;154.064
2.71181643327109;155.063
2.71083964032999;156.064
2.70977537879372;157.063
2.70871664564537;158.064
2.70779016729635;159.063
2.7067560306915;160.064
2.70578096165817;161.064
2.70480494093718;162.063
2.70373423403456;163.063
2.70297735595292;164.064
2.70197176478174;165.064
2.70070999424312;166.063
2.69978278668378;167.063
2.69882107678374;168.064
2.6977843538123;169.063
2.69675329735991;170.063
2.69570767790382;171.063
2.69474879499638;172.064
2.69378899174994;173.063
2.69276057487987;174.063
2.69180563638728;175.064
2.69073447889252;176.063
2.68978439229532;177.064
2.68875864318782;178.064
2.6877658577995;179.064
2.68685380295854;180.063
2.68580459215489;181.063
2.6847542793516;182.063
2.68375750853317;183.064
2.68277341791742;184.064
2.681658312226;185.063
2.68072696478665;186.063
2.67968501954531;187.063
2.67863512186535;188.063
2.67766659213443;189.063
2.67664896929587;190.064
2.6756303098461;191.063
2.67459682484299;192.063
2.67358297221996;193.063
2.67266479043141;194.063
2.67157292129194;195.064
2.67056291802388;196.063
2.66960039072701;197.063
2.66858839222102;198.063
2.66753371546492;199.063
2.66665859994245;200.063
2.66551841238323;201.064
2.66457190395407;202.063
2.66347115770424;203.063
2.66252270862623;204.064
2.66144764237819;205.063
2.6604133715866;206.064
2.65932203501086;207.063
2.6583205957961;208.064
2.65743737689669;209.063
2.65639192783727;210.064
2.65542268370152;211.063
2.65433291859622;212.063
2.65329830104846;213.063
2.65232605232985;214.063
2.6512470182779;215.063
2.65041402609374;216.063
2.64933999562088;217.064
2.64838511878048;218.063
2.64733724205082;219.063
2.6464938954031;220.063
2.64549371443595;221.063
2.6444783237251;222.064
2.64340500760868;223.063
2.64246579988937;224.064
2.64151145863284;225.063
2.64046348337465;226.063
2.63951436801444;227.063
2.63852861844357;228.063
2.63755620348899;229.063
2.63654703861246;230.063
2.63555119028597;231.063
2.63452564846981;232.063
2.63360678807911;233.063
2.6326008168369;234.064
2.63158663620426;235.064
2.63067947605709;236.064
2.62959123864189;237.063
2.62857399960041;238.063
2.62762797697697;239.064
2.62665213089526;240.063
2.62558845881115;241.063
2.62463960623583;242.064
2.62364633070148;243.064
2.62262302315183;244.063
2.62169315544568;245.063
2.62074059782936;246.064
2.61969246363047;247.063
2.61870883907713;248.063
2.61771694915393;249.064
2.61673868265162;250.064
2.61575945820676;251.064
2.61473536261304;252.063
2.61382010446467;253.063
2.61281601841003;254.064
2.61184028332171;255.063
2.61081951163255;256.064
2.60976092151679;257.063
2.6088116486694;258.063
2.60789095019938;259.064
2.60688089006285;260.063
2.60583288854992;261.063
2.60487987781367;262.064
2.60386677018602;263.063
2.60300815324665;264.063
2.60199314662123;265.064
2.60098452878702;266.063
2.59993032635678;267.064
2.59905345272644;268.063
2.59805674772066;269.064
2.59705159904156;270.064
2.59602306840801;271.063
2.5950233369093;272.064
