Number:0, mass:1, radius:0.01
time,x,y,z,x_,y_,z_
0, 0.476894, 0.14076, 0.748483, 0.0468919, -0.0767578, 0.040288
0.1, 0.481637, 0.133108, 0.752534, 0.0479856, -0.0762826, 0.0407395
0.2, 0.486491, 0.125504, 0.756628, 0.0490838, -0.0758001, 0.0411219
0.3, 0.491453, 0.117947, 0.760754, 0.0501443, -0.0753468, 0.0413727
0.4, 0.49652, 0.110436, 0.764904, 0.0512113, -0.0748583, 0.041626
0.5, 0.501696, 0.102977, 0.769081, 0.0523074, -0.0743251, 0.0419308
0.6, 0.506984, 0.0955725, 0.773291, 0.0534559, -0.0737502, 0.0422682
0.7, 0.512387, 0.0882287, 0.777535, 0.0546168, -0.0731036, 0.0426433
0.8, 0.517909, 0.080956, 0.781825, 0.0558298, -0.0723313, 0.0431876
0.9, 0.523545, 0.0737601, 0.78617, 0.0566819, -0.0717456, 0.0435297
1, 0.529228, 0.0665945, 0.790517, 0.0569756, -0.071565, 0.0433931
1.1, 0.534941, 0.0594474, 0.794848, 0.057272, -0.0713757, 0.0432336
1.2, 0.540683, 0.0523199, 0.799163, 0.0575753, -0.0711727, 0.0430503
1.3, 0.546443, 0.0452113, 0.803457, 0.057631, -0.0709949, 0.0428296
1.4, 0.55221, 0.0381219, 0.807728, 0.0577086, -0.070788, 0.0425893
1.5, 0.557818, 0.0312386, 0.812361, 0.0485963, -0.0607517, 0.0628326
1.6, 0.56094, 0.0266432, 0.821568, 0.00921106, -0.0295035, 0.123648
1.7, 0.557977, 0.0259455, 0.83796, -0.0848165, 0.0212946, 0.212294
1.8, 0.53241, 0.0344335, 0.868452, -0.573732, 0.185652, 0.434997
1.9, 0.55472, 0.0337881, 0.893911, 0.121697, -0.00790674, 0.214285
2, 0.560334, 0.0332783, 0.913626, 0.0181276, -0.00451377, 0.184523
2.1, 0.561453, 0.0326276, 0.930122, 0.0155944, -0.00954138, 0.13594
2.2, 0.563954, 0.0315403, 0.941588, 0.0344524, -0.0115244, 0.0966298
2.3, 0.568173, 0.0303991, 0.949744, 0.0493608, -0.0110153, 0.0673059
2.4, 0.57376, 0.0293887, 0.955131, 0.0622467, -0.00893568, 0.0404854
2.5, 0.580625, 0.0286713, 0.957787, 0.0752392, -0.00504483, 0.0120119
2.6, 0.588889, 0.0284823, 0.957302, 0.0907288, 0.00201004, -0.0235908
2.7, 0.599022, 0.029327, 0.952409, 0.114146, 0.017113, -0.0800396
2.8, 0.612733, 0.033005, 0.938603, 0.172441, 0.0708789, -0.229418
2.9, 0.626666, 0.0313933, 0.92731, -0.0486685, -0.325508, 0.44478
3, 0.626625, 0.98986, 0.955762, 0.0185807, -0.166602, 0.218314
3.1, 0.628482, 0.973198, 0.97759, 0.0185554, -0.166629, 0.218261
3.2, 0.630343, 0.956524, 0.0194251, 0.0188502, -0.167099, 0.218749
3.3, 0.63227, 0.939755, 0.0413746, 0.0197087, -0.168302, 0.220323
3.4, 0.634284, 0.92286, 0.063508, 0.0205208, -0.169629, 0.222466
3.5, 0.636344, 0.905826, 0.085898, 0.0203606, -0.171072, 0.225513
3.6, 0.638246, 0.888651, 0.108648, 0.0169087, -0.172316, 0.22969
3.7, 0.639554, 0.871403, 0.131842, 0.00859137, -0.172385, 0.233948
3.8, 0.639957, 0.854214, 0.155347, 0.000152513, -0.171365, 0.235599
3.9, 0.639823, 0.837074, 0.178899, -0.00126711, -0.172039, 0.235468
4, 0.64004, 0.819632, 0.202474, 0.00741741, -0.177899, 0.236166
4.1, 0.641806, 0.801194, 0.22614, 0.0307721, -0.192262, 0.23638
4.2, 0.647001, 0.78091, 0.249422, 0.0786345, -0.214345, 0.226569
4.3, 0.659116, 0.758417, 0.270665, 0.175622, -0.232635, 0.192945
4.4, 0.688356, 0.736556, 0.286336, 0.511922, -0.167202, 0.101246
4.5, 0.699225, 0.708808, 0.273339, -0.160733, -0.315621, -0.254483
4.6, 0.692049, 0.68494, 0.247962, -0.0260048, -0.180932, -0.261077
4.7, 0.690888, 0.670809, 0.221184, -0.00345751, -0.107736, -0.272202
4.8, 0.690632, 0.662392, 0.193957, -0.00521422, -0.0609752, -0.274609
4.9, 0.684164, 0.667011, 0.168536, -0.284662, -0.00337009, -0.087766
5, 0.645247, 0.635253, 0.15484, -0.405736, -0.474189, -0.188365
5.1, 0.597218, 0.579392, 0.0944328, -0.676535, -0.664781, -1.45494
5.2, 0.529474, 0.514695, 0.932222, -0.677718, -0.643942, -1.41713
5.3, 0.461705, 0.4503, 0.790504, -0.6777, -0.643957, -1.41724
5.4, 0.39393, 0.385894, 0.648765, -0.677807, -0.644398, -1.41762
5.5, 0.326147, 0.321264, 0.50693, -0.678169, -0.649564, -1.4202
5.6, 0.254833, 0.256081, 0.36121, -0.807566, -0.62317, -1.53483
5.7, 0.169794, 0.201801, 0.204611, -0.85559, -0.506189, -1.56615
5.8, 0.0841173, 0.150812, 0.0492445, -0.856529, -0.512441, -1.5451
5.9, 0.978444, 0.0995399, 0.874833, -0.866928, -0.515558, -1.54723
6, 0.872184, 0.0443213, 0.722847, -1.19595, -0.734554, -1.4207
6.1, 0.762708, 0.974655, 0.581193, -1.07101, -0.4476, -1.41376
6.2, 0.655024, 0.930073, 0.436651, -1.07816, -0.445236, -1.4525
6.3, 0.547204, 0.885536, 0.291406, -1.07824, -0.445499, -1.45239
6.4, 0.439379, 0.840977, 0.146174, -1.07825, -0.445659, -1.45226
6.5, 0.331555, 0.79638, 0.980938, -1.07809, -0.455557, -1.45685
6.6, 0.231266, 0.729686, 0.837191, -0.943584, -0.779659, -1.39608
6.7, 0.137382, 0.651283, 0.697102, -0.927939, -0.789106, -1.40909
6.8, 0.0463475, 0.572342, 0.555579, -0.896682, -0.788515, -1.41667
6.9, 0.936726, 0.493212, 0.414051, -0.898801, -0.800295, -1.41101
7, 0.846728, 0.412901, 0.27355, -0.902662, -0.79575, -1.40092
7.1, 0.755057, 0.337376, 0.135605, -0.940098, -0.666313, -1.32739
7.2, 0.652725, 0.260963, 0.985231, -1.05389, -0.978134, -1.35978
7.3, 0.55504, 0.173367, 0.848067, -0.944279, -0.839821, -1.37936
7.4, 0.461176, 0.0899011, 0.709837, -0.937989, -0.831385, -1.38585
7.5, 0.362991, 0.0155825, 0.56604, -1.02579, -0.506804, -1.62406
7.6, 0.260738, 0.947523, 0.401511, -1.02187, -0.48421, -1.64446
7.7, 0.15864, 0.898563, 0.237295, -1.0202, -0.496021, -1.63868
7.8, 0.0566531, 0.848237, 0.074027, -1.01984, -0.510016, -1.6258
7.9, 0.934633, 0.796967, 0.891808, -1.02069, -0.513042, -1.62189
8, 0.832438, 0.745736, 0.729457, -1.02378, -0.511017, -1.62636
8.1, 0.729888, 0.694847, 0.566472, -1.02656, -0.507078, -1.63187
8.2, 0.627087, 0.644246, 0.4032, -1.03134, -0.504291, -1.63359
8.3, 0.523696, 0.593984, 0.239912, -1.03477, -0.502041, -1.63231
8.4, 0.420222, 0.543769, 0.0766951, -1.03469, -0.502255, -1.63208
8.5, 0.316779, 0.493918, 0.89307, -1.03356, -0.481415, -1.65291
