Number:0, mass:1, radius:0.001
time,x,y,z
0, 0.625313, 0.77385, 0.0956169
0.01, 0.625492, 0.774395, 0.0960499
0.02, 0.625672, 0.77494, 0.096483
0.03, 0.625852, 0.775485, 0.0969161
0.04, 0.626032, 0.77603, 0.0973492
0.05, 0.626212, 0.776574, 0.0977824
0.06, 0.626392, 0.777119, 0.0982155
0.07, 0.626572, 0.777664, 0.0986487
0.08, 0.626752, 0.778208, 0.099082
0.09, 0.626932, 0.778753, 0.0995152
0.1, 0.627112, 0.779297, 0.0999485
0.11, 0.627292, 0.779842, 0.100382
0.12, 0.627472, 0.780386, 0.100815
0.13, 0.627652, 0.780931, 0.101248
0.14, 0.627832, 0.781475, 0.101682
0.15, 0.628012, 0.782019, 0.102115
0.16, 0.628192, 0.782563, 0.102549
0.17, 0.628372, 0.783108, 0.102982
0.18, 0.628552, 0.783652, 0.103416
0.19, 0.628731, 0.784197, 0.103849
0.2, 0.628908, 0.784744, 0.104282
0.21, 0.629083, 0.785294, 0.104714
0.22, 0.629256, 0.785845, 0.105146
0.23, 0.629425, 0.7864, 0.105577
0.24, 0.629591, 0.786959, 0.106008
0.25, 0.629752, 0.787522, 0.106437
0.26, 0.62991, 0.788089, 0.106865
0.27, 0.630063, 0.788661, 0.107293
0.28, 0.630213, 0.789236, 0.107719
0.29, 0.630358, 0.789816, 0.108145
0.3, 0.630499, 0.7904, 0.10857
0.31, 0.630635, 0.790988, 0.108993
0.32, 0.630767, 0.79158, 0.109416
0.33, 0.630894, 0.792177, 0.109837
0.34, 0.631017, 0.792778, 0.110258
0.35, 0.631135, 0.793383, 0.110677
0.36, 0.631249, 0.793993, 0.111095
0.37, 0.631357, 0.794608, 0.111513
0.38, 0.631461, 0.795227, 0.111929
0.39, 0.63156, 0.795851, 0.112344
0.4, 0.631653, 0.796479, 0.112757
0.41, 0.631741, 0.797112, 0.11317
0.42, 0.631825, 0.79775, 0.113581
0.43, 0.631902, 0.798392, 0.113991
0.44, 0.631974, 0.79904, 0.1144
0.45, 0.632041, 0.799692, 0.114808
0.46, 0.632102, 0.800349, 0.115214
0.47, 0.632156, 0.801011, 0.115619
0.48, 0.632205, 0.801679, 0.116022
0.49, 0.632248, 0.802351, 0.116425
0.5, 0.632285, 0.803029, 0.116825
0.51, 0.632315, 0.803712, 0.117224
0.52, 0.632339, 0.8044, 0.117622
0.53, 0.632356, 0.805094, 0.118018
0.54, 0.632367, 0.805794, 0.118413
0.55, 0.63237, 0.806499, 0.118806
0.56, 0.632366, 0.807209, 0.119197
0.57, 0.632355, 0.807926, 0.119587
0.58, 0.632337, 0.808648, 0.119975
0.59, 0.632311, 0.809376, 0.120361
0.6, 0.632277, 0.81011, 0.120745
0.61, 0.632235, 0.810851, 0.121128
0.62, 0.632185, 0.811597, 0.121508
0.63, 0.632127, 0.81235, 0.121887
0.64, 0.632059, 0.813109, 0.122264
0.65, 0.631983, 0.813875, 0.122638
0.66, 0.631898, 0.814648, 0.12301
0.67, 0.631803, 0.815427, 0.123381
0.68, 0.631698, 0.816214, 0.123749
0.69, 0.631584, 0.817007, 0.124114
0.7, 0.631459, 0.817808, 0.124477
0.71, 0.631324, 0.818616, 0.124838
0.72, 0.631177, 0.819432, 0.125196
0.73, 0.631019, 0.820255, 0.125552
0.74, 0.63085, 0.821086, 0.125905
0.75, 0.630668, 0.821926, 0.126255
0.76, 0.630474, 0.822773, 0.126602
0.77, 0.630267, 0.823629, 0.126946
0.78, 0.630047, 0.824494, 0.127287
0.79, 0.629812, 0.825367, 0.127625
0.8, 0.629564, 0.82625, 0.127959
0.81, 0.6293, 0.827142, 0.12829
0.82, 0.62902, 0.828044, 0.128617
0.83, 0.628724, 0.828956, 0.12894
0.84, 0.628412, 0.829878, 0.12926
0.85, 0.628081, 0.83081, 0.129575
0.86, 0.627732, 0.831754, 0.129886
0.87, 0.627364, 0.832708, 0.130193
0.88, 0.626975, 0.833675, 0.130494
0.89, 0.626565, 0.834653, 0.130791
0.9, 0.626132, 0.835644, 0.131082
